Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 5.4717698097229s, fps: 0.1827562260062694
time: 4.844610214233398s, fps: 0.20641495513137748
time: 4.757319450378418s, fps: 0.21020240713926738
time: 5.501084566116333s, fps: 0.1817823354615292
time: 5.267130613327026s, fps: 0.18985669302936495
time: 5.242232799530029s, fps: 0.19075841120402948
time: 5.284151315689087s, fps: 0.18924514841785783
time: 5.200585603713989s, fps: 0.1922860378042526
time: 4.996988296508789s, fps: 0.2001205407462457
time: 5.384377956390381s, fps: 0.18572247492640495
time: 5.355554103851318s, fps: 0.1867220423150751
time: 4.6074254512786865s, fps: 0.21704095065118692
time: 5.255962133407593s, fps: 0.19026012262224404
time: 5.5444395542144775s, fps: 0.1803608805221572
time: 5.312308073043823s, fps: 0.18824209482019447
time: 5.268823623657227s, fps: 0.18979568712643188
time: 5.2295591831207275s, fps: 0.19122070617876674
time: 5.8419189453125s, fps: 0.17117663037800113
time: 5.678370714187622s, fps: 0.17610685359120046
time: 5.340090036392212s, fps: 0.18726276021286045
time: 5.574863910675049s, fps: 0.17937657600666201
time: 5.582806587219238s, fps: 0.1791213763860829
time: 5.429104328155518s, fps: 0.18419244493312947
time: 4.888625860214233s, fps: 0.2045564599529769
time: 4.767031669616699s, fps: 0.2097741465351764
time: 5.126258134841919s, fps: 0.195074062541495
time: 4.733386754989624s, fps: 0.21126522123844327
time: 4.723106622695923s, fps: 0.21172505299683572
time: 4.9228880405426025s, fps: 0.20313279354810995
time: 4.503707647323608s, fps: 0.22203927925789413
time: 4.702921390533447s, fps: 0.21263379014008377
time: 4.843142986297607s, fps: 0.20647748844691052
time: 5.37952446937561s, fps: 0.18589003650652933
time: 5.097595453262329s, fps: 0.19617092199029365
time: 5.215105056762695s, fps: 0.19175069133137568
time: 5.403094291687012s, fps: 0.18507913170024826
time: 4.888128280639648s, fps: 0.20457728246631499
time: 4.785431146621704s, fps: 0.20896758711196886
time: 4.686239957809448s, fps: 0.21339069467271654
time: 4.949834585189819s, fps: 0.2020269531818408
time: 4.841130971908569s, fps: 0.20656330221236704
time: 4.823425531387329s, fps: 0.2073215380838225
time: 5.172096014022827s, fps: 0.19334521193898055
time: 4.965902805328369s, fps: 0.20137325259910624
time: 4.494600534439087s, fps: 0.22248918281784458
time: 4.999768495559692s, fps: 0.2000092606063866
time: 4.906035661697388s, fps: 0.20383056075340888
time: 4.983998775482178s, fps: 0.20064210387035153
time: 4.86505389213562s, fps: 0.20554756888027576
time: 5.336666584014893s, fps: 0.18738288859853744
time: 5.076083421707153s, fps: 0.1970022785133202
time: 5.054281711578369s, fps: 0.19785205041286003
time: 4.969512462615967s, fps: 0.20122698303358252
time: 5.143234014511108s, fps: 0.19443019648310816
time: 4.872148036956787s, fps: 0.20524827907827986
time: 5.1734209060668945s, fps: 0.19329569701689947
time: 4.913390398025513s, fps: 0.20352545167220143
time: 5.251653432846069s, fps: 0.1904162208697123
time: 5.2649781703948975s, fps: 0.18993431076752126
time: 4.9484641551971436s, fps: 0.20208290262136105
time: 5.091864824295044s, fps: 0.19639170215765644
time: 4.920287847518921s, fps: 0.20324014183524952
time: 5.128230810165405s, fps: 0.19499902344835102
time: 5.0439088344573975s, fps: 0.19825893623780688
time: 5.212100982666016s, fps: 0.19186120977427706
time: 4.893858432769775s, fps: 0.204337745714894
time: 5.168708086013794s, fps: 0.1934719437350193
time: 4.831158399581909s, fps: 0.20698969424942484
time: 5.066220998764038s, fps: 0.19738578325816447
time: 4.908153533935547s, fps: 0.20374260770081523
time: 4.881113767623901s, fps: 0.20487127479652956
time: 5.2365217208862305s, fps: 0.1909664569921348
time: 4.7734949588775635s, fps: 0.20949011334771356
time: 4.779598951339722s, fps: 0.20922257498606656
time: 5.458207845687866s, fps: 0.18321031889432854
time: 4.669423580169678s, fps: 0.2141591960615537
time: 4.816925525665283s, fps: 0.20760129976514144
time: 4.8456199169158936s, fps: 0.20637194355855978
time: 4.855973958969116s, fps: 0.20593191158963545
time: 4.877357482910156s, fps: 0.2050290558983865
time: 5.022720813751221s, fps: 0.19909527865100463
time: 5.0380589962005615s, fps: 0.19848914051108715
time: 5.046534299850464s, fps: 0.1981557917935149
time: 4.984278202056885s, fps: 0.20063085555443624
time: 4.793785810470581s, fps: 0.20860339604990302
time: 4.922731876373291s, fps: 0.203139237543997
time: 5.018550157546997s, fps: 0.19926073638940917
time: 4.9859538078308105s, fps: 0.2005634304973756
time: 4.966416835784912s, fps: 0.20135241021144695
time: 4.930285692214966s, fps: 0.20282800276240034
time: 4.795812129974365s, fps: 0.20851525724910855
time: 5.037165403366089s, fps: 0.19852435247247377
time: 5.022171258926392s, fps: 0.19911706479993152
time: 4.470959663391113s, fps: 0.2236656278042832
time: 4.9321582317352295s, fps: 0.20275099723395948
time: 5.066775560379028s, fps: 0.19736417926615116
time: 4.9550416469573975s, fps: 0.20181465086454758
time: 4.716534376144409s, fps: 0.21202008090047308
time: 4.592348098754883s, fps: 0.21775352793293884
time: 4.768660306930542s, fps: 0.2097025025134728
time: 4.757003307342529s, fps: 0.21021637686408165
time: 4.95126485824585s, fps: 0.20196859360787323
time: 4.525590896606445s, fps: 0.22096562036790796
time: 4.7212135791778564s, fps: 0.21180994742757184
time: 4.325717449188232s, fps: 0.23117552446419282
time: 4.967355966567993s, fps: 0.20131434242489213
time: 4.966109991073608s, fps: 0.20136485132175114
time: 5.095784425735474s, fps: 0.196240640587081
time: 4.685290575027466s, fps: 0.2134339341363343
time: 4.796562194824219s, fps: 0.20848265056983115
time: 4.9191858768463135s, fps: 0.20328567064457
time: 5.098191022872925s, fps: 0.19614800534415472
time: 4.8403942584991455s, fps: 0.20659474137754816
time: 5.5357606410980225s, fps: 0.1806436486028502
time: 5.21885347366333s, fps: 0.19161296730142885
time: 5.249691486358643s, fps: 0.19048738437268295
time: 5.059855937957764s, fps: 0.19763408529050247
time: 4.861251354217529s, fps: 0.20570835102620624
time: 4.839056015014648s, fps: 0.20665187526186818
time: 5.079919338226318s, fps: 0.19685351940039966
time: 5.427020072937012s, fps: 0.18426318431853833
time: 4.7754600048065186s, fps: 0.2094039106166728
time: 5.018249034881592s, fps: 0.1992726931344083
time: 4.977069854736328s, fps: 0.20092143152227815
time: 5.1740593910217285s, fps: 0.19327184410276524
time: 5.414352655410767s, fps: 0.184694286398331
time: 5.052276134490967s, fps: 0.1979305907634744
time: 5.295221567153931s, fps: 0.18884951032133654
time: 5.102109432220459s, fps: 0.19599736408726848
time: 5.327214956283569s, fps: 0.1877153462374327
time: 5.3861212730407715s, fps: 0.1856623624509374
time: 5.337058782577515s, fps: 0.18736911859851269
time: 5.064691066741943s, fps: 0.1974454091714795
time: 5.380457878112793s, fps: 0.18585778806445227
time: 5.207016468048096s, fps: 0.1920485571989866
time: 5.213148355484009s, fps: 0.19182266296873038
